S0102	S0104	S0105	S0106	S0107	S0108	S0111	S0112	S0113	S0115	S0116	S0117	S1504	S1505	S1506	S1511	S1512	S1513	S2904	S2905	S2906	S2911	S2912	S2913	S4304	S4305	S4306	S4311	S4312	S4313
Preadipocytes	0.0424283061692494	0.00034229955535962	6.93388238025118e-18	9.77192671491314e-18	0.0878692045267177	1.67232327198648e-18	0.0242858195297499	0	7.76952938470135e-18	0.0129483630421046	0.00745047154173204	1.18639978333969e-18	0.00349568583060586	0.0236633284520994	0.0950060633495941	0.0633229631017437	3.52298000747732e-18	0.0311812611532191	0	0.0298005234895866	1.62283526731797e-17	0	0	4.30662822533574e-18	0.00743176954726489	0	0	1.9115220797807e-18	3.46835580926555e-18	0.0966603704885718
pro B-cells	0.057305371787344	0.0459614896075025	0.0200195411788764	4.42961131846332e-20	0.072389774289841	0.154802011916308	0.0276792878157621	0.00420286080334277	5.9500816741871e-19	0.0109567413554012	0.0407378868294425	0.0222905892755843	0	0.0594887654775072	0.0289371744229217	1.24521596418126e-18	0.00970747730892638	0.0579164585125339	0.0795085573172205	2.12783572120567e-18	2.30740517207713e-05	0.00193201431454402	0.0240002683019308	0.00906472747713681	0.0615102369709272	0.00824343215138674	0.044634189270738	0.00460577061740143	1.26238493357595e-19	0.0491109434410179
Sebocytes	0.002819218934295	0.00182093227151605	0.00161862714090938	0	0.000690541747262991	0.0038143672294581	0	0.00114567980392943	0.0006316272765143	0.00064705016169379	0	6.02410764931033e-19	0.00214516862237533	0.00327083365010856	0	0	0	0	0.0013638626943405	0.000959632492274115	0.00144448061861449	0	0	0.000187500417144012	0.00376157610154715	0.00540381256844461	0.000527802968458545	0	8.9796527303834e-21	0
Skeletal muscle	0.0320241183789272	0.0211155367615893	8.51540348295188e-19	8.04965487251331e-19	0.0314956922387393	0.0445288661133727	8.96600875242051e-19	0	3.06152799340832e-18	0.000242818454262722	0.00264167139554774	0.00410519794043845	0.00707132826144982	0.0269181906046584	0.0191543739019225	0	0	0.0141776891788588	0.0076862815552452	6.82022257087357e-19	0	0	4.01492295058495e-19	0	0.0195804745739224	0.00123523638614742	0.0184511580811605	0	0	0.0255662345672588
Smooth muscle	0.182102373178671	0.143063496562168	0.296517199598185	0.27996357915409	0.0697892815917002	5.68997166570612e-22	0.164003858936501	0.308114739066933	0.234550550116905	0.177944568373506	0.22451902842333	0.00751840662225383	0.120752551780389	0	0.00748303815193684	0.3411887136397	0.259872248642731	0	0	0.175010891281183	0.287608203712112	0.308458222932541	0.315283903897745	0.239020480430667	0.00718931872904971	0.198852767836278	0.135506528690081	0.173741007049934	0.302405292027854	0
Tgd cells	6.39440638011593e-18	5.51784771794919e-18	0	0	0	0	8.33070534521477e-18	5.66912247042555e-18	4.36548698284197e-18	0	0	5.66448226693635e-18	7.06574734931721e-18	0	5.00030486206187e-17	1.31422296307369e-18	0	9.59975705349416e-19	0	4.55850587102977e-19	1.18868397319413e-18	0	2.14424884350765e-17	2.72171122947611e-17	0	2.1345886247584e-18	6.63757479170761e-18	0	1.52090019004818e-18	0
Th1 cells	0.0256172951564637	3.38854566522411e-19	0.0866974694581529	0.102265003212744	2.17891116119052e-17	0.0937595445227432	3.12385330607011e-19	0.167411330898159	0.0814428600048759	0.129032202385529	0.0999236756742156	0.158683721501163	0.0335975747562604	0	0.126411276924022	0.0921536353151979	0.0552479152133223	2.61680472368579e-18	0.0189436561163632	4.38398317303507e-18	0.122369749891584	0.0892604548025413	0.0708779592310398	0.120585446875495	0	0.0312967955156127	0.0914601575565692	0.0423706791143215	0.102682545325866	0.0274236296780931
Th2 cells	0.0150045821257245	0.0193751836111553	0.00593745428793651	0	0.148944865249499	1.84745897357429e-18	0.00449441953836005	0.0174245174094059	0	0.0123208648169406	0.0109347196878028	0.0749950923039001	0.00291200419871426	0.100815648077863	1.98232201278348e-17	0.00338016744627858	0.086546239013508	0.21726867067659	0.232203282382601	0.12004477902063	0	1.98609607673937e-18	0.0450263975092542	1.01366331491387e-17	3.43031895948059e-19	0	0.055891487697519	0.00109768176114425	0	0.0845298201730719
Tregs	0	1.03074343505908e-17	6.04960505096996e-19	0	0.00610467370738034	0	0.0353680211250789	0	0.0116128841048367	0	0.0271084170675423	0.00669370994204006	0.0231203769725291	0.0626626723259099	0.00984638994660338	0.0121870370890199	1.17294456210698e-19	0.0304017803379755	0.0402891786757028	0.0341549756624478	0.0165532109475838	0.0246567869953148	0.00189689202048424	0.0359581626858422	0.00653527998713779	0.0299350673598355	0.0636073810088655	0.032537151406714	0	0.0979451585242198
ImmuneScore	0.0560056414266576	0.022481285939577	0.0127275630689978	0.011724242695361	0.0598367209184532	0.0909314984737771	0.0135580060666148	0.0149984866261632	0.0214037496216547	0.0246524824554381	0.024005895527058	0.0110601519553478	0.0252947297982043	0.0862486326702344	0.0118597081905298	0.00995889992202667	0.0169053810759161	0.0759241588485714	0.0998931910560839	0.0323471174093926	0.00249304561600537	0.0195601956952476	0.00492442901185032	0.0148862363711824	0.0342430996706506	0.0123789667830602	0.0468033995455733	0.021452370884618	0.0164828317142238	0.0535124116717866
StromaScore	0.00894767005300006	0.00901811594969301	0.000670190228700604	2.22594177482917e-19	0.0265801672833347	0.0195460303047353	0.0124412697282508	0.000152078701267826	1.09073778337218e-05	0.0186856071428395	0.010243864533022	0.0109010089561957	0.0124630107286649	0.0140207297385027	0.015208222529912	0.00342301568502849	0.00330820078355899	0.00554312674893064	0.0112396655108686	0.00242456084632131	0.001262132116757	2.95460587553839e-18	0.0018089012575817	1.77252181705844e-19	0.0211177357923654	0.00189398389295442	0.00663093355918857	0.00190550297708273	4.15715577234206e-18	0.0227031525935967
MicroenvironmentScore	0.0649533114796576	0.03149940188927	0.0133977532976984	0.011724242695361	0.0864168882017879	0.110477528778512	0.0259992757948656	0.015150565327431	0.0214146569994885	0.0433380895982776	0.03424976006008	0.0219611609115435	0.0377577405268692	0.100269362408737	0.0270679307204418	0.0133819156070552	0.020213581859475	0.081467285597502	0.111132856566953	0.0347716782557139	0.00375517773276237	0.0195601956952476	0.00673333026943202	0.0148862363711824	0.0553608354630161	0.0142729506760147	0.0534343331047619	0.0233578738617008	0.0164828317142238	0.0762155642653832
