S0102	S0104	S0105	S0106	S0107	S0108	S0111	S0112	S0113	S0115	S0116	S0117	S1504	S1505	S1506	S1511	S1512	S1513	S2904	S2905	S2906	S2911	S2912	S2913	S4304	S4305	S4306	S4311	S4312	S4313
MSC	0.24620838188704	0.0511443969813651	0.014423195692149	0.0236112023867437	0.179809492070024	0.298256328683133	0.0894862438980956	2.18380023042121e-17	0.0480588301461784	0.0273476786382218	0.0994918783116351	0.312289058430675	0.148864632890868	0.226128053050454	0.272207797862782	0.0224930217314866	0.00933478748151337	0.41837294901071	0.187817747128496	2.08356573681705e-17	4.12027839811469e-17	5.18662995475065e-19	0	0.0399766218686286	0.139865379963062	0.0563835588547909	0.0820605698732957	0.133784284144193	1.86923943747193e-19	0.286119626358158
mv Endothelial cells	0.00163484018026402	0	0	4.64932632878194e-19	0.0226692642543173	0.0188345410713474	0.00662369337709932	0.000534869377243147	0	0.00465908805523749	0.00922653272617393	0.00934702614534945	0.01617531334284	0.011419598306258	0.0208043095120147	0.00221625986589021	0.00662904518592426	0.00854443974807807	0.0180401154120264	0.00516506201317587	0.00194026626881217	2.84407725185774e-18	4.96656292275357e-19	3.13696588242952e-19	0.0195045253956637	0.00623215884751535	0.0103622527988988	2.74516783642096e-19	0	0.0215503532001251
Myocytes	0.0248179188702708	0.0265907207226657	0.014849388413409	0	0.0419877392386657	0.0478293647883165	0.0108200453239797	7.20030116891387e-19	0	0.0108506015183364	0.0156411840370152	0.0059297027787317	0.0172642129132959	0.0388493566038657	0.0303327710799789	0.010914278767048	5.31179746541033e-19	0.0339383377264461	0.0125177945402727	0.0261170468998289	0.00432439721990522	6.64341568897476e-20	0.0123623300449549	0.00575946512149456	0.0145687478954787	0.0209195203933981	0.0252478643960626	0.0077858316210167	6.17550317534534e-19	0.0691702864786688
naive B-cells	1.27785976948656e-17	0	1.4370761737159e-20	1.60622876328471e-18	4.4386362304123e-18	0	6.92523359002701e-19	2.13839555141845e-18	0	2.6814878742506e-19	0	0	4.93921776762669e-19	1.30955088662342e-17	3.93268959613814e-18	0	0	0.00763483980441319	0	8.51094667168869e-18	0.000975581411835646	4.32081741703307e-07	0.000303879813393917	4.54979067782367e-20	0	0	3.05478911136402e-19	0	9.62860177371663e-20	0
Neurons	0.0143671162549215	0.00423216097639632	0.000892445162545869	0	0.00583188592578519	0.00809396114999078	0.00328784440979722	6.21775053218655e-05	0	0.000579779603011844	0.00334209275783852	0.00372523547668841	0.00462380588741332	0.00517585004193242	0.00368871293934012	0.00290665528677428	0.00112472854802054	0.00953588260492576	0.00590269575817729	0.000373522239728702	0	0	0.00142025347520519	1.75820653859303e-06	0.00664816526494235	8.2574968613682e-05	0.00219125368817602	0.00105684354227915	0	0.0100077982570354
Neutrophils	0.0339077926375328	0.00398604242193533	0.00107252978153475	0	0	0.00246312316706036	4.46358393392476e-19	0	0	0	0	0	7.5498378581139e-21	0	0	6.09130525622539e-20	1.39218454028889e-19	0	0	0.00153703447343981	0	0	1.91134203521428e-18	6.40227460246811e-20	7.65721771132842e-20	0.00066716891391892	0	0	0	0
NK cells	0	3.20921692233595e-18	0	1.26576789919473e-18	0	1.20857746984195e-17	0	1.55030231601216e-18	0	1.8507417799785e-17	1.64930601613818e-17	0	0	0	4.67037872691609e-19	0	4.54295246936169e-19	3.06968143790257e-18	4.73081821026997e-05	0	5.76726263517415e-18	0	0	0	9.56466634194943e-18	7.01699882872225e-18	9.94876301290519e-20	5.21153159350445e-18	2.7379673982545e-19	1.94779724307479e-17
NKT	0.0679278510277399	0.0618811456259784	0.00435484601317275	0.00384419878273511	0.0574351630577508	0.0774820044792445	0.114123151642189	5.88884137688376e-18	0.028442346888979	0.00172437133969752	0	0.0367868144606148	0.117190860006452	0.13901807608716	0.0138321075752092	1.61637174803332e-19	0.101551899338914	0.105002273896445	1.72124280027788e-18	0.0447538332946299	1.09589200059414e-19	0	0.00639993209440443	1.67926127126384e-19	0.106217680019715	0.0259264741790479	0	0.0404097680936897	9.61570605550617e-19	0.126610634998281
Osteoblast	5.45512035350039e-18	0	0.0151341227168952	0.0717057506969596	0	0	0.0149765289403183	0.0778911980069792	0.149652172428836	0.107793842701719	0.0348380159416658	0.0558035382307015	1.94305277417056e-17	0	3.87008101143377e-18	0.0547629162146803	0.115563817360496	2.30782109896962e-19	8.54597576923232e-18	0.0814215665399178	0.0829005459967252	0.0667287427872645	0.0327837753950661	0.0486279638586241	0	0.0793136523939694	0.00597613154868511	0.07050147539308	0.0830818958701145	0
pDC	0.0160789980442716	0	0.000364589085974002	2.25664612204926e-19	0	1.39839281379099e-18	0	3.08391221994649e-18	7.1951724760396e-20	0.00417966877322876	0	2.86027710037138e-18	0	0.00874420252144537	8.77343396940946e-19	0	0	6.52337122025966e-19	0	0	0	7.05482771752779e-20	0.00381020529977819	0.00108028148656098	0.0090337016135349	0.00587438082715491	4.35787412511098e-20	0	1.60481269667508e-05	3.4362906558525e-19
Pericytes	1.68944583172636e-18	0.0449640127462096	0	0.0105760345023934	0.0836924987352515	0.070665564769877	2.92502771441675e-18	0	0	0	0.0539711265145507	0.0912203552812439	0.0754570559539367	0.0589664666077196	0.122370490329497	0	8.87781079874549e-18	0.000225844645940755	0.0970717957471491	0.00308185487395077	0	0	2.80641855141797e-18	1.3092195714817e-17	0.01022683226393	0	0.0666788687355464	6.82313551135558e-19	1.65480267583628e-17	0.091121724792658
Plasma cells	0.0068800175466174	0.0149565201076678	0.0125410371189681	0.0101394495076507	1.79697688886671e-19	0.0323140857323132	0.00502356993141731	0.00541817553654785	0	0.0252107890975494	0.00559174455932794	0.00279767777929205	0.00781748814518537	0.0301326407462907	0.0297396472244866	0.0177302012286624	2.0425560850771e-19	0.0131218150096449	0.00875664945660316	0.0113671483710169	0.00458256098373567	0.012177898150844	0.0236936641738151	0.00670223560620016	0.0282074740574643	0	0.0217220696902973	0.0132796144708148	0.00637485825789753	0.0247976153950907
Platelets	0	0	0	0	0	0.0226656162966759	0.0106320480187353	0.00418350984388964	8.94480927869633e-19	0	3.02895650005468e-18	6.98540975126911e-18	1.86910090422263e-19	0.0376207357145674	0	0	8.02673398720582e-18	0.0231859718255814	0.0200203206143379	0.00930905586249902	0	7.54633787856854e-19	0	0	0.0458493782723389	0	0.00897539497835412	1.73429594782034e-18	2.16627718303849e-18	0
