sample	Adipose.Tissue	B_Memory	B_naive	Basophils	Bladder	Brain	CD4_naive	CD4_TE	CD8_CM	CD8_EM	CD8_naive	CD8_TE	Colon	DCs	Esophagus	Heart	Kidney	Liver	Lung	MAIT	Monocytes	Muscle	Nerve	Neutrophils	NK	Pancreas	Pituitary	Plasmablasts	Platelet	RBC	Skin	Small.Intestine	Stomach	T_gd	TFH	Th1	Th17	Th2	Treg
EVPs.in.Urine114	0.42623662670417	0	0	0	0.573877104855226	0.00249778545211757	0.0642295064274124	0	0.00637966305660237	0.154364132713545	0	0	0.199943581519097	0.00408291921381224	0.0689020929515436	0.000204497749580826	0.139791771940514	0.142152157172742	0	0	0	0.000429730776121323	0	0	0.0635086111783628	0.0403712316295509	3.46450562289033e-05	0.325739763659798	0	0	0.0174064310704024	0.162994995317785	0	0	0.14916088027399	0	0	0.539604622643693	0.288936423796397
EVPs.in.Urine115	0	0.00117878280069603	0	0	0.522484868214443	0.215558046046811	0.207216916183684	0	0.00357374725647924	0.00248507323679417	0	0	0	0	0.418982124138864	0	0.103369095638612	0.250183113212248	0	0.0013846400935178	0	0	0	0	0.0049742669281298	0	0.109249874364218	0	0	0	0	0.00517719359596673	0	0	0	0	0	0	0.515559786575535
EVPs.in.Urine116	0	0	0.154859033386273	0.0345553742660762	0.345368407003064	0.0703372819342684	0.278359325666705	0	0	0.0543164581643108	0	0	0	0	0.329951690615741	0	0.0898211894115661	0.121836643041185	0.0274341877690644	0.213798685649485	0.0385968219772659	0.00880761465263247	0	0.00504599160772543	0	0.0055961322930542	0	0	0.0147522048519519	0	0	0	0	0.103194310245404	0.347180729239645	0.082925727930906	0	0	0.177934100742029
EVPs.in.Urine117	0	0.134498456764127	0	0.0237141353904455	0.533843264976284	0	0	0.0459960841849539	0.01245453643775	0.427669495729729	0	0	0.342093697225754	0.000844345347770531	0.0365086540111621	0	0.116175836433473	0.149734653950628	0.0138661742094045	0.122158045252475	0.0804738065564787	0	0	0	0.242232915031253	0.0633620831595621	0	0.11780444295502	0	0	0.0608898503590638	0.198578421557776	0	0	0.0578355076054937	0.15366467883744	0	0.824098721977473	0.65236292993261
EVPs.in.Urine118	0	0	0.0171486122628492	0.0190166582184615	0.536562893615394	0	0.163051311072051	0.507368449636809	0	0.118833489906924	0.0739229588301465	0	0	0.0597847560957198	0.432061993279572	0	0.178184462309547	0.367095149233475	0.0159042962060259	0.273108927145014	0.0495234161087517	0.0555289880429949	0.0149820452932823	0.0135369697975746	0	0.0619366422039626	0	0	0.00739867328369245	0	0	0.0191647196081978	0	0.0958109260827429	0.379162555136513	0.0411288356207624	0	0.0794807000686523	0.266804730941755
EVPs.in.Urine119	0	0.000292511268285944	0	1.54727891382156e-05	0.0116925794134471	0.0058862998638826	0.0123740625032026	0.00426547290826468	0.00457645269076487	0	0.000597686101106831	0.00223643754989042	0	0	0	0.000104090720105629	0.000400076801854974	0.000115729373082268	0	0.00653206685821209	8.9912697248673e-06	0	0	1.14514805235055e-05	0.000309716480580202	0	3.88831776415924e-06	0	0	0.000283713238743655	0.000105408541304149	0	0	0	0	0	0.0029469421573449	0.0768917311280229	0
EVPs.in.Urine12	0	0.00271333708092311	0	0	0.532589001248246	0.000390339778897044	0.504873176675657	0.000758737077036137	0	0.0129703677336559	0.0287600567653671	0.00850608605518999	0	0	0.111617142392154	1.7340109032437e-05	0.15995063790388	3.67464299764891e-05	0	0.0226952581403538	0	0	0	0	0.00982217724473872	0.0975569626833827	0	0	0	0	0.00165598265077785	0.0720766911821633	0	0	0.311575351937428	0.148274464855506	0	0	0.0708803578814634
EVPs.in.Urine120	0	3.41491208195451e-05	0	3.11108739092182e-05	0.529247769289409	0.000249114409941714	0	0.000272760095084778	0	0	0.00261593119867461	0.000141700858277019	0	1.94589777906461e-05	0.0362456211134732	0.000125030326788997	0.138179747168701	5.40312148124278e-05	0	0.000289702038487869	1.35170517396938e-05	0	0	4.50513561910452e-05	0	0.024994133019188	0	4.10917189133966e-05	0	0.000136490762856671	0	0.00457079210694225	0	0.000439419269307373	0.00950392093676595	0.00397409492418008	0	0	0
EVPs.in.Urine121	0	0	4.58812658973157e-05	0	0.160146045961799	0	0.00759171186011828	0	0.000393927275382708	0.000223129696360215	0	0	0	4.60609359142425e-05	0.571888692801715	0	0.0532884236670897	0.000178773941267025	0	0	0	0	0	3.25485244458829e-06	5.21482636728042e-05	0	0	7.61459708162222e-05	0.000104198186795201	0	0	0	0	7.85549797968008e-05	0	0	0.000462602061023658	0	9.91119770809394e-05
EVPs.in.Urine122	0	9.0156377857642e-05	0	1.52953709874337e-05	0.516566858146551	0	0.0778884586263653	0	0	0.0184770088769069	0.00246680549288819	0.0111613577686101	0	2.21170729379216e-05	0.469933875057756	0	0.0377297357281088	0.000113226263706745	0	0.0219416768496024	0	0	0	1.29381299410203e-06	0.00345213861334884	6.89220373990898e-05	0	3.33419126158363e-06	0	0	0	0.00802324298496636	0	0	0.04115397694484	0	0	0.0185709828066484	0
EVPs.in.Urine123	0	0	8.085161086957e-05	1.93335787995741e-06	0.291067588309505	0.00788283418097116	0	0.000268369809735131	0.000190319168629299	0	4.87465422765176e-05	0	0	1.82495138737748e-05	0.360342171346748	0.0012573822931745	0.0846926118926259	0.00233289434551232	0	0.000447020530519704	2.33392719718173e-05	0.00143259215858627	0.00120369025345479	4.94145939111679e-07	0	0	0.000511933292671782	8.68645603739338e-05	0.00143063964174936	6.89493440607647e-05	0	0.0639084847960901	0	8.06512755613387e-05	0.00474686596211271	0	0	0.000583325974121862	0
EVPs.in.Urine124	0	0	0.00901709410702742	0.000134159377910309	0.550613606426056	0	0.695757471032847	0.473693203778879	0	0.119028636114798	0.085251267227165	0.000566091693816967	0.0205803029710784	0.00785358565255451	0.370917592890855	0	0.207644569675828	0.0617867595697594	0	0.109549361149467	0.0469164235733619	0.00024012961355338	0	0.0586896076478861	0	0.0871141472782431	0	0.258328145387488	0.0188600380486429	0	0	0.0129459829863498	0	0	0.221456785080993	0.0320384232841708	0	0.0653329643468883	0
EVPs.in.Urine125	0	0	2.70547171497271e-05	2.51305955665249e-05	0.512373959348503	0.000241957886986263	0	0	0	0	0.000264196333302741	0.000182594403129233	0	2.64854441933415e-05	0	0.000108595997821551	0.0953047433291564	0.000153096066034739	0	0.000128299667189913	1.75125891586567e-06	0	0	0	0	4.52311070259781e-05	1.89381793355911e-05	0.000117760451906535	0.0244173979287862	0	0	0	6.03795102162713e-05	0.000122703730098067	0.00114947461075274	0.00096666333252976	0	0	5.86541653642414e-05
EVPs.in.Urine13	0.207298654508762	0	0.00615569887054537	0	0.561625892701199	0	0.543103432619909	0.00157619672145667	0	0.0585568210829822	0.0306624526484549	0	0	0.000170748249999408	0.226025105202929	0	0.178362657375026	0	0.0755169590057734	0.0136902919398005	0	0	0	0	0.0137522635537087	0.0971098197182632	0.0345711155010005	0.00084800819756356	0	0	0	0.0318460988501943	0	0	0.264816177783639	0.114775166257855	0	0	0
EVPs.in.Urine14	1.00097713044185	0.0201649840862553	0	0.0248874993252618	0.552403980655557	0.0196204888315735	0.102521184380076	0.225984653153149	0	0.0395360713452557	0.0844048405933523	0.0651186377327346	0.13287264277359	0	0.701366328547036	0.00134396766943519	0.0516960492719953	0.00290483917698912	0	0	0.214746252900091	0.103394184073875	0.0555184899773559	0.0630484898132287	0	0.223966902299452	0.00324775306116286	0	0	0	0.024129304313778	0.0738386652317128	0	0.0350510652239699	0.0923109927210911	0	0.0400377096524323	0.0417848124791946	0
EVPs.in.Urine15	0.136482283354621	0.0112320790105382	0	0.028517737159834	0.523230297871883	0	0.739127670469062	0.127531955790721	0	0.246438580253306	0	0	0.0833548710942417	0	0.51508869255229	0	0.124489000591921	0	0	0	0.117264295269067	0	0	0.0474079906694744	0.213251000520649	0.0777708951536597	0	0	0.518986453351243	0	0.00624954035582738	0	0	0	0.110251108762088	0.270881687120691	0	0	0.328064623457447
